source_dataset,purpose,year,country,nace_code,region,indic_sbs,observed_value,status_flag,raw_value
sbs_ovw_iep,market_size_plausibility_context,2021,NL,F,benelux,INV_SOFT_MEUR,68.38,,68.38
sbs_ovw_iep,market_size_plausibility_context,2021,NO,B,nordics,INV_SOFT_MEUR,2.49,,2.49
sbs_ovw_iep,market_size_plausibility_context,2021,NO,C,nordics,INV_SOFT_MEUR,40.21,,40.21
sbs_ovw_iep,market_size_plausibility_context,2021,NO,C21,nordics,INV_SOFT_MEUR,0.32,,0.32
sbs_ovw_iep,market_size_plausibility_context,2021,NO,C29,nordics,INV_SOFT_MEUR,0.18,,0.18
sbs_ovw_iep,market_size_plausibility_context,2021,NO,D35,nordics,INV_SOFT_MEUR,0.0,,0.00
sbs_ovw_iep,market_size_plausibility_context,2021,NO,F,nordics,INV_SOFT_MEUR,7.56,,7.56
sbs_ovw_iep,market_size_plausibility_context,2021,PL,B,eastern_europe,INV_SOFT_MEUR,2.97,,2.97
sbs_ovw_iep,market_size_plausibility_context,2021,PL,C,eastern_europe,INV_SOFT_MEUR,237.0,,237.00
sbs_ovw_iep,market_size_plausibility_context,2021,PL,C21,eastern_europe,INV_SOFT_MEUR,13.97,,13.97
sbs_ovw_iep,market_size_plausibility_context,2021,PL,C29,eastern_europe,INV_SOFT_MEUR,12.05,,12.05
sbs_ovw_iep,market_size_plausibility_context,2021,PL,D35,eastern_europe,INV_SOFT_MEUR,99.8,,99.80
sbs_ovw_iep,market_size_plausibility_context,2021,PL,F,eastern_europe,INV_SOFT_MEUR,17.32,,17.32
sbs_ovw_iep,market_size_plausibility_context,2021,PT,B,southern_europe,INV_SOFT_MEUR,0.05,b,0.05 b
sbs_ovw_iep,market_size_plausibility_context,2021,PT,C,southern_europe,INV_SOFT_MEUR,78.42,b,78.42 b
sbs_ovw_iep,market_size_plausibility_context,2021,PT,C21,southern_europe,INV_SOFT_MEUR,5.61,b,5.61 b
sbs_ovw_iep,market_size_plausibility_context,2021,PT,C29,southern_europe,INV_SOFT_MEUR,5.69,b,5.69 b
sbs_ovw_iep,market_size_plausibility_context,2021,PT,D35,southern_europe,INV_SOFT_MEUR,6.87,b,6.87 b
sbs_ovw_iep,market_size_plausibility_context,2021,PT,F,southern_europe,INV_SOFT_MEUR,5.15,b,5.15 b
sbs_ovw_iep,market_size_plausibility_context,2021,RO,B,eastern_europe,INV_SOFT_MEUR,0.93,,0.93
sbs_ovw_iep,market_size_plausibility_context,2021,RO,C,eastern_europe,INV_SOFT_MEUR,46.14,,46.14
sbs_ovw_iep,market_size_plausibility_context,2021,RO,C21,eastern_europe,INV_SOFT_MEUR,1.05,,1.05
sbs_ovw_iep,market_size_plausibility_context,2021,RO,C29,eastern_europe,INV_SOFT_MEUR,4.52,,4.52
sbs_ovw_iep,market_size_plausibility_context,2021,RO,D35,eastern_europe,INV_SOFT_MEUR,15.3,,15.30
sbs_ovw_iep,market_size_plausibility_context,2021,RO,F,eastern_europe,INV_SOFT_MEUR,1.95,,1.95
sbs_ovw_iep,market_size_plausibility_context,2021,SE,B,nordics,INV_SOFT_MEUR,0.0,,0.00
sbs_ovw_iep,market_size_plausibility_context,2021,SE,C,nordics,INV_SOFT_MEUR,0.0,,0.00
sbs_ovw_iep,market_size_plausibility_context,2021,SE,C21,nordics,INV_SOFT_MEUR,0.0,,0.00
sbs_ovw_iep,market_size_plausibility_context,2021,SE,C29,nordics,INV_SOFT_MEUR,0.0,,0.00
sbs_ovw_iep,market_size_plausibility_context,2021,SE,D35,nordics,INV_SOFT_MEUR,0.0,,0.00
sbs_ovw_iep,market_size_plausibility_context,2021,SE,F,nordics,INV_SOFT_MEUR,0.0,,0.00
sbs_ovw_iep,market_size_plausibility_context,2021,SI,C21,eastern_europe,INV_SOFT_MEUR,,,: @C
sbs_ovw_iep,market_size_plausibility_context,2021,SK,B,eastern_europe,INV_SOFT_MEUR,0.13,,0.13
sbs_ovw_iep,market_size_plausibility_context,2021,SK,C,eastern_europe,INV_SOFT_MEUR,42.22,,42.22
sbs_ovw_iep,market_size_plausibility_context,2021,SK,C21,eastern_europe,INV_SOFT_MEUR,0.23,,0.23
sbs_ovw_iep,market_size_plausibility_context,2021,SK,C29,eastern_europe,INV_SOFT_MEUR,6.68,,6.68
sbs_ovw_iep,market_size_plausibility_context,2021,SK,D35,eastern_europe,INV_SOFT_MEUR,18.78,,18.78
sbs_ovw_iep,market_size_plausibility_context,2021,SK,F,eastern_europe,INV_SOFT_MEUR,1.81,,1.81
